问题id,问题,答案,分类
442,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2019年，中信行业分类行业划分标准,电力及公用事业一级行业中, 代码为多少的股票的日均收益率最高？",问题：“基金股票数据库”,SQL
443,"在20210630的年报(含半年报)中，鹏华可转债债券C基金的债券持仓,其持有最大仓位的债券类型是什么?",回答：“基金股票数据库”,SQL
444,"请帮我查询下，在20200617，中信行业分类里一级行业为钢铁行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",回答：“基金股票数据库”,SQL
445,嘉实基金管理有限公司2020年成立了多少基金?,问题：“嘉实基金管理有限公司2020年成立了多少基金?”的答案应该在基金股票数据库中可以找到。,SQL
446,20190812日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,这个问题的答案应该在基金股票数据库中。,SQL
447,深圳市超频三科技股份有限公司现有核心技术人员几名？是谁？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
448,我想知道在20211231的季报里，鹏扬添利增强债券A投资的股票分别是哪些申万一级行业？,回答：“基金股票数据库”,SQL
449,湖南南岭民用爆破器材股份有限公司主要业务是什么？,该问题的描述不清，无法确定应该在招股说明书中还是在基金股票数据库中查找答案。请提供更多的上下文信息以便更好地回答您的问题。,Text
450,"帮我算一下在20200617,代码为00878的港股日价格振幅是多少，小数点后保留不超过3位。",回答：“基金股票数据库”,SQL
451,华瑞股份第二次股权转让引入的外部投资者是？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
452,大成景乐纯债债券C基金在20210331的季报里，前三大持仓占比的债券名称是什么?,回答：“基金股票数据库”,SQL
453,在哪些国家和地区，兰州海默科技股份有限公司必须通过当地公司销售产品和服务？,该问题的答案可能包含在兰州海默科技股份有限公司的招股说明书中。,Text
454,请帮我查询出20210719日，农林牧渔一级行业涨幅超过5%（不包含）的股票数量。,"这个问题应该归为""基金股票数据库""类别。",SQL
455,"请帮我查询下，在20210319，申万行业分类里一级行业为公用事业行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",回答：“基金股票数据库”,SQL
456,我想知道光大阳光优选一年持有期混合B基金，在2020年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,回答：“基金股票数据库”,SQL
457,20191231日，请给出西部利得沣泰债券A基金的管理人和单位净值。单位净值保留两位小数。,基金股票数据库,SQL
458,截至本招股意向书出具之日，广东银禧科技股份有限公司有多少发明专利正在申请？,"该问题的分类应该是 ""该公司的招股说明书""。",Text
459,内蒙古君正能源化工股份有限公司的主营产品是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
460,汉嘉设计集团股份有限公司主要无形资产有哪几类？,该问题的描述不够清晰，无法确定应该在招股说明书中还是在基金股票数据库中查找答案。请提供更多的上下文信息以便更好地回答您的问题。,Text
461,我想知道融通增祥三个月定期开放债券基金在20210630的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,回答：“基金股票数据库”,SQL
462,20200910港股下跌的股票家数有多少家?,基金股票数据库,SQL
463,"请查询：2020年12月年报(含半年报),持有20国际港务SCP012且是前10大重仓股的基金有几个？",回答：“基金股票数据库”,SQL
464,自2020年3月20日起，确成硅化学股份有限公司 _产品出口退税率为多少？,这个问题的答案应该在基金的股票数据库中。,Text
465,"我想了解一下长城基金管理有限公司2020年成立的债券型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",回答：“基金股票数据库”,SQL
466,湖南南岭民用爆破器材股份有限公司取得的有效期是什么？,该问题的描述不清，无法确定答案所属的类别。,Text
467,海南双成药业股份有限公司使用的“甘美多兰”商标的所有权归哪家公司？商标的授权期限是多久？,"该问题的分类应该是 ""该公司的招股说明书""。",Text
468,"请帮我查询下，在20190617，申万行业分类里一级行业为建筑材料行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",回答：“基金股票数据库”,SQL
469,请查询：在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于其他型类型的有几个。,"问题：“请查询：在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于其他型类型的有几个。”
回答：“基金股票数据库”",SQL
470,我想知道在20210630的季报里，嘉实中证央企创新驱动ETF联接C投资的股票分别是哪些申万一级行业？,回答：“基金股票数据库”,SQL
471,我想知道长信双利优选混合A基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,回答：“基金股票数据库”,SQL
472,西安启源机电装备股份有限公司控股股东是谁？直接持有多少的股份？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
473,请查询：在20190121，属于申万二级水泥制造行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,"这个问题应该归为""基金股票数据库""类别。",SQL
474,请帮我查询在截止2020-12-31的报告期间，基金总份额降低的基金数量是多少？,问题：“基金股票数据库”,SQL
475,帮我查询在2020年12月31日，代码为010058的基金前20大重仓股票中属于中信二级饮料行业的平均市值是多少？小数点后保留不超过3位。,基金股票数据库,SQL
476,截至2010年9月30日，深圳市铁汉生态环境股份有限公司在册员工共多少人？,"该问题的答案可能包含在基金的招募说明书或股票的公司公告中。因此，答案应该属于""基金股票数据库""或""该公司的招股说明书""类别。",Text
477,请查询：在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于混合型类型的有几个。,"问题：“请查询：在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于混合型类型的有几个。”
回答：“该公司的招股说明书”",Text
478,在2019年的年度报告里，中泰证券(上海)资产管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,这个问题应该属于基金股票数据库。,SQL
479,请问在休闲服务行业，20211031行业的A股公司有多少?,该问题需要在基金股票数据库中查找答案。,SQL
480,请查询：在20200518，属于申万二级景点行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,"问题：“请查询：在20200518，属于申万二级景点行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。”
回答：“基金股票数据库”",SQL
481,20191226日，请给出民生加银聚益纯债债券基金的管理人和累计单位净值。,回答：“基金股票数据库”,SQL
