问题,SQL,SQL结果,答案
请问2021年一季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,"WITH t1 AS (
    SELECT *, 报告期期末基金总份额 - 报告期期初基金总份额 AS 净申购
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2021-03-31%'
)
SELECT COUNT(*) AS 数量, ROUND(SUM(净申购), 2) AS 净申购份额
FROM t1
WHERE 净申购 > 0
LIMIT 1;","[{'数量': 1516, '净申购份额': 384235026323.63}]",2021年一季度有1516家基金是净申购，它们的净申购份额加起来是384235026323.63份。
广发聚利债券(LOF)C基金在20191231且报告类型是季报的持债市值中，哪类债券市值最高？,"SELECT 债券类型
FROM 基金债券持仓明细
WHERE 基金简称 = '广发聚利债券(LOF)C'
AND 持仓日期 = '20191231'
AND 报告类型 = '季报'
GROUP BY 债券类型
ORDER BY SUM(持债市值) DESC
LIMIT 1;",[{'债券类型': '中期票据'}],广发聚利债券(LOF)C基金在20191231且报告类型是季报的持债市值中，中期票据类债券市值最高。
2020年一季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,"WITH t1 AS (
    SELECT *, 报告期期初基金总份额 - 报告期期末基金总份额 AS 净赎回
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2020-03-31%'
)
SELECT COUNT(*) AS 数量, ROUND(SUM(净赎回), 2) AS 净赎回份额
FROM t1
WHERE 净赎回 > 0
LIMIT 1;","[{'数量': 996, '净赎回份额': 196350640124.8}]",2020年一季度，有996家基金发生了净赎回，总共赎回了196350640124.80份额。
方正富邦添利纯债债券C基金在20191231且报告类型是年报(含半年报)的持债市值中，哪类债券市值最高？,"SELECT 债券类型
FROM 基金债券持仓明细
WHERE 基金简称 = '方正富邦添利纯债债券C'
AND 持仓日期 = '20191231'
AND 报告类型 = '年报(含半年报)'
GROUP BY 债券类型
ORDER BY SUM(持债市值) DESC
LIMIT 1;",[{'债券类型': '金融债券'}],方正富邦添利纯债债券C基金在20191231且报告类型是年报(含半年报)的持债市值中，金融债券类债券市值最高。
我想知道西藏东财消费精选混合C基金，在2020年半年度报告中，前4大重仓股中，有多少只股票在报告期内取得负收益。,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 IN (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '西藏东财消费精选混合C'
        AND 持仓日期 = '20200630'
        AND 报告类型 = '年报(含半年报)'
        AND 第N大重仓股 <= 4
    )
    AND 交易日 BETWEEN '20200101' AND '20200630'
),
t2 AS (
    SELECT 股票代码, [昨收盘(元)] AS 期初价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MIN(交易日)
),
t3 AS (
    SELECT 股票代码, [收盘价(元)] AS 期末价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MAX(交易日)
)
SELECT COUNT(*) AS 数量
FROM t2 JOIN t3
ON t2.股票代码 = t3.股票代码
WHERE t3.期末价 < t2.期初价
LIMIT 1;",[{'数量': 0}],西藏东财消费精选混合C基金，在2020年半年度报告中，前4大重仓股中，有0只股票在报告期内取得负收益。
请帮我计算：在20190110，日收益率为正的A股股票有几个。,"SELECT COUNT(股票代码) AS 数量
FROM A股票日行情表
WHERE 交易日 = '20190110'
AND [收盘价(元)] > [昨收盘(元)]
LIMIT 1;",[{'数量': 1274}],在20190110，日收益率为正的A股股票有1274个。
20210408日，成交金额最大的前一家上市公司的股票代码是什么？按成交金额从大到小给出,"SELECT 股票代码
FROM A股票日行情表
WHERE 交易日 = '20210408'
ORDER BY [成交金额(元)] DESC
LIMIT 1;",[{'股票代码': '601919'}],20210408日，成交金额最大的前一家上市公司的股票代码按成交金额从大到小依次是601919。
请帮我查询在截止2021-06-30的报告期间，基金总份额提升的基金数量是多少？,"SELECT COUNT(*) AS 数量
FROM 基金规模变动表
WHERE 截止日期 LIKE '2021-06-30%'
AND 报告期期末基金总份额 > 报告期期初基金总份额
LIMIT 1;",[{'数量': 1431}],在截止2021-06-30的报告期间，基金总份额提升的基金数量是1431只。
针对2019年的中期报告，有多少家基金的个人投资者持有份额占比不足71%?,"SELECT COUNT(基金代码) AS 数量
FROM 基金份额持有人结构
WHERE 定期报告所属年度 = 2019
AND 报告类型 = '中期报告'
AND 个人投资者持有的基金份额占总份额比例 < 71
LIMIT 1;",[{'数量': 296}],针对2019年的中期报告，有296家基金的个人投资者持有份额占比不足71%。
查询下基金代码009053的基金，它的托管人是？,"SELECT 托管人
FROM 基金基本信息
WHERE 基金代码 = '009053'
LIMIT 1;",[{'托管人': '上海银行股份有限公司'}],基金代码009053的基金，它的托管人是上海银行股份有限公司。
请查询：在20201214，属于中信二级航空航天行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,"SELECT ROUND(AVG([成交金额(元)]), 5) AS 平均成交金额
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20201214'
AND t2.行业划分标准 = '中信行业分类'
AND t2.二级行业名称 = '航空航天'
LIMIT 1;",[{'平均成交金额': 340340501.64865}],在20201214，属于中信二级航空航天行业的A股股票，它们的平均成交金额是340340501.64865元。
在2021年报中，内蒙华电和泰和新材分别在多少只基金的前8大重仓股里？,"SELECT 股票名称, COUNT(*) AS 数量
FROM 基金股票持仓明细
WHERE 持仓日期 = '20211231'
AND 报告类型 = '年报(含半年报)'
AND 股票名称 IN ('内蒙华电', '泰和新材')
AND 第N大重仓股 <= 8
GROUP BY 股票名称
LIMIT 2;","[{'股票名称': '内蒙华电', '数量': 3}, {'股票名称': '泰和新材', '数量': 4}]",在2021年报中，内蒙华电在3只基金的前8大重仓股里，泰和新材在4只基金的前8大重仓股里。
"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2019年，申万行业分类行业划分标准,交通运输一级行业中, 代码为多少的股票的日均收益率最高？","SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 LIKE '2019%'
AND t2.行业划分标准 = '申万行业分类'
AND t2.一级行业名称 = '交通运输'
GROUP BY t1.股票代码
ORDER BY AVG(t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) DESC
LIMIT 1;",[{'股票代码': '601872'}],"在2019年，申万行业分类行业划分标准,交通运输一级行业中, 代码为601872的股票的日均收益率最高。"
2021年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,"WITH t1 AS (
    SELECT *, 报告期期初基金总份额 - 报告期期末基金总份额 AS 净赎回
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2021-09-30%'
)
SELECT COUNT(*) AS 数量, ROUND(SUM(净赎回), 2) AS 净赎回份额
FROM t1
WHERE 净赎回 > 0
LIMIT 1;","[{'数量': 2085, '净赎回份额': 317373703552.49}]",2021年三季度，有2085家基金发生了净赎回，总共赎回了317373703552.49份额。
国寿安保高股息混合C基金在20211231的季报里，前五大持仓占比的债券名称是什么?,"SELECT 债券名称
FROM 基金债券持仓明细
WHERE 基金简称 = '国寿安保高股息混合C'
AND 持仓日期 = '20211231'
AND 报告类型 = '季报'
ORDER BY 第N大重仓股 ASC
LIMIT 5;","[{'债券名称': '21海通02'}, {'债券名称': '20光证G5'}, {'债券名称': '21华泰G3'}, {'债券名称': '20中证13'}, {'债券名称': '21国君G3'}]",国寿安保高股息混合C基金在20211231的季报里，前五大持仓占比的债券名称是21海通02、20光证G5、21华泰G3、20中证13、21国君G3。
请帮我查询在截止2020-03-31的报告期间，基金总份额降低的基金数量是多少？,"SELECT COUNT(*) AS 数量
FROM 基金规模变动表
WHERE 截止日期 LIKE '2020-03-31%'
AND 报告期期末基金总份额 < 报告期期初基金总份额
LIMIT 1;",[{'数量': 996}],在截止2020-03-31的报告期间，基金总份额降低的基金数量是996只。
"我想了解易方达悦兴一年持有期混合C基金,在2021年一季度的季报第6大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。","WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '易方达悦兴一年持有期混合C'
        AND 持仓日期 = '20210331'
        AND 报告类型 = '季报'
        AND 第N大重仓股 = 6
        LIMIT 1
    )
    AND 交易日 BETWEEN '20210101' AND '20210331'
),
t2 AS (
    SELECT [昨收盘(元)] AS 期初价
    FROM t1
    ORDER BY 交易日 ASC
    LIMIT 1
),
t3 AS (
    SELECT [收盘价(元)] AS 期末价
    FROM t1
    ORDER BY 交易日 DESC
    LIMIT 1
)
SELECT ROUND((t3.期末价 / t2.期初价 - 1) * 100, 2) AS 涨跌幅
FROM t2 JOIN t3
LIMIT 1;",[{'涨跌幅': 6.74}],"易方达悦兴一年持有期混合C基金,在2021年一季度的季报第6大重股当个季度的涨跌幅是6.74%。"
在2021年9月15日，使用中信行业分类标准，股票代码600676是属于哪个一级行业的?,"SELECT 一级行业名称
FROM A股公司行业划分表
WHERE 交易日期 = '20210915'
AND 行业划分标准 = '中信行业分类'
AND 股票代码 = '600676'
LIMIT 1;",[{'一级行业名称': '汽车'}],在2021年9月15日，使用中信行业分类标准，股票代码600676是属于汽车一级行业。
我想知道圆信永丰沣泰混合基金在20200630的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,"SELECT 一级行业名称
FROM 基金可转债持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.对应股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.基金简称 = '圆信永丰沣泰混合'
AND t1.持仓日期 = '20200630'
AND t1.报告类型 = '年报(含半年报)'
AND t2.行业划分标准 = '中信行业分类'
GROUP BY 一级行业名称
ORDER BY SUM(市值) DESC
LIMIT 1;",[{'一级行业名称': '银行'}],圆信永丰沣泰混合基金在20200630的年报(含半年报)中，其可转债持仓占比最大的是中信一级行业划分标准下的银行行业。
20200906日，钢铁一级行业有多少只A股股票？,"SELECT COUNT(*) AS 数量
FROM A股公司行业划分表
WHERE 交易日期 = '20200906'
AND 一级行业名称 = '钢铁'
LIMIT 1;",[{'数量': 89}],20200906日，钢铁一级行业有89只A股股票。
请问股票代码为002449的股票在2021年内日成交量高于该股票当年平均日成交量的有多少个交易日？,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = '002449'
    AND 交易日 LIKE '2021%'
)
SELECT COUNT(*) AS 天数
FROM t1
WHERE [成交量(股)] > (
    SELECT AVG([成交量(股)])
    FROM t1
    LIMIT 1
)
LIMIT 1;",[{'天数': 90}],股票代码为002449的股票在2021年内日成交量高于该股票当年平均日成交量的有90个交易日。
请问股票代码为002701的股票在2021年内日成交量高于该股票当年平均日成交量的有多少个交易日？,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = '002701'
    AND 交易日 LIKE '2021%'
)
SELECT COUNT(*) AS 天数
FROM t1
WHERE [成交量(股)] > (
    SELECT AVG([成交量(股)])
    FROM t1
    LIMIT 1
)
LIMIT 1;",[{'天数': 81}],股票代码为002701的股票在2021年内日成交量高于该股票当年平均日成交量的有81个交易日。
请帮我查询下股票代码为688202的股票在2021年内最高日收盘价是多少？,"SELECT MAX([收盘价(元)]) AS 最高日收盘价
FROM A股票日行情表
WHERE 股票代码 = '688202'
AND 交易日 LIKE '2021%'
LIMIT 1;",[{'最高日收盘价': 781.0}],股票代码为688202的股票在2021年内最高日收盘价是781.0。
20210521日，请给出中银创新医疗混合C基金的管理人和单位净值。单位净值保留两位小数。,"SELECT t1.管理人, ROUND(t2.单位净值, 2) AS 单位净值
FROM 基金基本信息 t1 JOIN 基金日行情表 t2
ON t1.基金代码 = t2.基金代码
AND t1.基金简称 = '中银创新医疗混合C'
AND t2.交易日期 = '20210521'
LIMIT 1;","[{'管理人': '中银基金管理有限公司', '单位净值': 2.13}]",20210521日，中银创新医疗混合C基金的管理人是中银基金管理有限公司，单位净值是2.13元。
"帮我算一下在20211220,代码为285 H2的港股日价格振幅是多少，小数点后保留不超过3位。","SELECT ROUND(([最高价(元)] - [最低价(元)]) / [昨收盘(元)], 3) AS 日价格振幅
FROM 港股票日行情表
WHERE 交易日 = '20211220'
AND 股票代码 = '285 H2'
LIMIT 1;",[{'日价格振幅': 0.079}],"在20211220,代码为285 H2的港股日价格振幅是0.079。"
20210121日，最高价较上一交易日收盘价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,"SELECT COUNT(*) AS 数量
FROM A股票日行情表 t1 JOIN A股票日行情表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = '20210121'
AND t2.交易日 = (
    SELECT MAX(交易日)
    FROM A股票日行情表
    WHERE 交易日 < '20210121'
    LIMIT 1
)
AND t1.[最高价(元)] > t2.[收盘价(元)]
LIMIT 1;",[{'数量': 3810}],20210121日，最高价较上一交易日收盘价高的股票有3810只。
"帮我算一下在20200526,代码为00308的港股日价格振幅是多少，小数点后保留不超过3位。","SELECT ROUND(([最高价(元)] - [最低价(元)]) / [昨收盘(元)], 3) AS 日价格振幅
FROM 港股票日行情表
WHERE 交易日 = '20200526'
AND 股票代码 = '00308'
LIMIT 1;",[{'日价格振幅': 0.042}],"在20200526,代码为00308的港股日价格振幅是0.042。"
"请查询：2020年3月其他,持有20贴现国债18且是前1大重仓股的基金有几个？","SELECT COUNT(*) AS 数量
FROM 基金债券持仓明细
WHERE 持仓日期 = '20200331'
AND 报告类型 = '其他'
AND 债券名称 = '20贴现国债18'
AND 第N大重仓股 <= 1
LIMIT 1;",[{'数量': 0}],"2020年3月其他,持有20贴现国债18且是前1大重仓股的基金有0个。"
